,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,file_name
0,ACURA RDX,3.5,6.0,SemiAuto-6,2WD,Gasoline,FA,small SUV,3,20,28,23,5,No,18
1,ACURA RDX,3.5,6.0,SemiAuto-6,2WD,Gasoline,CA,small SUV,3,20,28,23,5,No,18
2,ACURA RDX,3.5,6.0,SemiAuto-6,4WD,Gasoline,FA,small SUV,3,19,27,22,4,No,18
3,ACURA RDX,3.5,6.0,SemiAuto-6,4WD,Gasoline,CA,small SUV,3,19,27,22,4,No,18
4,ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,CA,small car,3,23,33,27,6,No,18
5,ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,FA,small car,3,23,33,27,6,No,18
6,ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,small car,3,20,32,24,5,No,18
7,ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,small car,3,20,32,24,5,No,18
8,ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,small car,3,21,30,24,5,No,18
9,ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,small car,3,21,30,24,5,No,18
10,ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,small car,3,20,29,23,5,No,18
11,ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,small car,3,20,29,23,5,No,18
12,ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,small car,3,20,30,23,5,No,18
13,ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,small car,3,20,30,23,5,No,18
14,ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,CA,small car,1,24,34,28,6,No,18
15,ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,FA,small car,1,24,34,28,6,No,18
16,ALFA ROMEO Giulia,2.0,4.0,Auto-8,2WD,Gasoline,FA,midsize car,3,24,33,27,6,No,18
17,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,CA,midsize car,3,17,24,20,4,No,18
18,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,CA,midsize car,3,17,24,20,4,No,18
19,ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,FA,midsize car,3,17,24,20,4,No,18
20,ALFA ROMEO Giulia AWD,2.0,4.0,Auto-8,4WD,Gasoline,FA,midsize car,3,23,31,26,5,No,18
21,ALFA ROMEO Stelvio AWD,2.0,4.0,Auto-8,4WD,Gasoline,FA,small SUV,3,22,28,24,5,No,18
22,AUDI A3,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,7,24,31,27,6,No,18
23,AUDI A3,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,7,24,31,27,6,No,18
24,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,26,35,29,6,No,18
25,AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,26,35,29,6,No,18
26,AUDI A3 Cabriolet,2.0,4.0,AMS-6,4WD,Gasoline,CA,small car,7,22,30,25,5,No,18
27,AUDI A3 Cabriolet,2.0,4.0,AMS-6,4WD,Gasoline,FA,small car,7,22,30,25,5,No,18
28,AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,7,25,33,28,6,No,18
29,AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,7,25,33,28,6,No,18
30,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,5,24,34,27,6,No,18
31,AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,5,24,34,27,6,No,18
32,AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,CA,small car,3,24,33,27,6,No,18
33,AUDI A4,2.0,4.0,Man-6,4WD,Gasoline,FA,small car,3,24,33,27,6,No,18
34,AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,CA,small car,3,27,37,31,7,Yes,18
35,AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,FA,small car,3,27,37,31,7,Yes,18
36,AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,5,24,34,27,6,No,18
37,AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,5,24,34,27,6,No,18
38,AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,CA,small car,3,24,33,27,6,No,18
39,AUDI A5,2.0,4.0,Man-6,4WD,Gasoline,FA,small car,3,24,33,27,6,No,18
40,AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,CA,small car,5,24,34,27,6,No,18
41,AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,FA,small car,5,24,34,27,6,No,18
42,AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,midsize car,5,24,34,27,6,No,18
43,AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,FA,midsize car,5,24,34,27,6,No,18
44,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,CA,midsize car,5,25,34,28,6,No,18
45,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,FA,midsize car,5,25,34,28,6,No,18
46,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,5,22,31,26,5,No,18
47,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,5,22,31,26,5,No,18
48,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,20,29,23,5,No,18
49,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,20,29,23,5,No,18
50,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,20,29,23,5,No,18
51,AUDI A7,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,20,29,23,5,No,18
52,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,19,29,22,4,No,18
53,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,19,29,22,4,No,18
54,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,small car,3,20,28,23,5,No,18
55,AUDI Q3,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,small car,3,20,28,23,5,No,18
56,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,small car,3,20,28,23,5,No,18
57,AUDI Q3,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,small car,3,20,28,23,5,No,18
58,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,CA,small SUV,3,23,27,25,5,No,18
59,AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,FA,small SUV,3,23,27,25,5,No,18
