model,cmb_mpg mean2018,cmb_mpg mean2008,dif_mpg
MASERATI Granturismo,16,17,-1
BMW 750i,19.5,20,-0.5
CHEVROLET Corvette,17.75,18,-0.25
TOYOTA Sequoia,14.5,14.75,-0.25
TOYOTA Tundra,15.25,15.4,-0.15000000000000036
TOYOTA Land Cruiser,15,15,0
CHEVROLET Impala,21.25,20.5,0.75
DODGE Charger,19.75,18.8,0.9499999999999993
BMW Alpina B7,19,18,1
HYUNDAI Santa Fe,20.5,19.5,1
LEXUS LX 570,15,14,1
TOYOTA Corolla,31,30,1
TOYOTA Yaris,32.5,31.5,1
CHRYSLER 300,20,18.8,1.1999999999999993
TOYOTA 4Runner,18,16.75,1.25
CHEVROLET Silverado 15,17.3125,16,1.3125
NISSAN Armada,15.5,14,1.5
JEEP Compass,25.25,23.666666666666668,1.5833333333333321
KIA Sedona,20,18,2
PORSCHE Boxster S,23,21,2
TOYOTA Avalon,24,22,2
GMC Sierra 15,17.3125,15.2,2.1125000000000007
BMW M6 Convertible,16.5,14,2.5
PORSCHE Boxster,24.5,22,2.5
HYUNDAI Elantra,30.333333333333332,27.666666666666668,2.6666666666666643
FORD Fusion,24,21.333333333333332,2.666666666666668
KIA Sportage,23.333333333333332,20.6,2.7333333333333307
TOYOTA RAV4,25,22.25,2.75
CADILLAC CTS,22.8,20,2.8000000000000007
CHEVROLET Tahoe 1500,16.875,14,2.875
GMC Yukon 1500,16.875,14,2.875
CADILLAC Escalade,17,14,3
KIA Optima,28,25,3
KIA Rio,32,29,3
PORSCHE 911 Turbo,21,18,3
PORSCHE 911 Turbo Cabriolet,21,18,3
GMC Acadia,21.75,18.5,3.25
HONDA Fit,33.333333333333336,30,3.3333333333333357
NISSAN Versa,31.4,28,3.3999999999999986
ACURA RDX,22.5,19,3.5
DODGE Durango,19,15.2,3.8000000000000007
DODGE Challenger,19,15,4
MERCEDES-BENZ SL550,20,16,4
SUBARU Forester,25.666666666666668,21.5,4.166666666666668
AUDI TT Coupe,26,21.666666666666668,4.333333333333332
HONDA Ridgeline,21.5,17,4.5
JEEP Grand Cherokee,19.666666666666668,15.142857142857142,4.5238095238095255
FORD F150,19.545454545454547,15,4.545454545454547
HYUNDAI Sonata,28.25,23.666666666666668,4.583333333333332
AUDI A3,28,23.333333333333332,4.666666666666668
AUDI TT Roadster,26,21.333333333333332,4.666666666666668
CHRYSLER Pacifica,22,17.333333333333332,4.666666666666668
KIA Sorento,21.666666666666668,17,4.666666666666668
SUBARU Legacy,26,21.125,4.875
PORSCHE Cayenne S,20,15,5
BUICK LaCrosse,25.333333333333332,20,5.333333333333332
AUDI A8 L,22,16.5,5.5
VOLVO S60,27,21.333333333333332,5.666666666666668
TOYOTA Camry,30,24.25,5.75
VOLKSWAGEN Jetta,30,24.166666666666668,5.833333333333332
AUDI A4,27,21,6
AUDI A6,25.666666666666668,19.666666666666668,6
AUDI Q7,21,15,6
MAZDA CX-9,23.5,17.5,6
MAZDA 3,30.833333333333332,24.4,6.433333333333334
SUBARU Impreza,29,21.75,7.25
MERCEDES-BENZ C300,25.666666666666668,18,7.666666666666668
VOLKSWAGEN Passat,29,21.25,7.75
AUDI S5,24,16,8
AUDI S4,24,15.5,8.5
CHEVROLET Equinox,27.833333333333332,19,8.833333333333332
CHEVROLET Malibu,33,22.333333333333332,10.666666666666668
VOLVO XC 90,32.2,15.666666666666666,16.53333333333334
